run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,subject,session
3,1,15,1.6,house,1,house_1,3,75,2,3,18,2,1,11.25,2500,1000,1000,2849.6168548779706,0,1785.9611368535782,9375.0,18521.82799173155,0,0
3,1,13,1.6,animals,1,animals_1,4,76,9,17,12,2,1,11.25,2500,1000,1000,2805.649266436397,0,1561.0410794106947,8125.0,17002.94034584709,0,0
3,1,14,1.6,shapes,2,shapes_2,5,77,8,16,12,2,1,11.25,2500,1000,1000,2590.7702546686232,0,1420.1658080367838,8750.0,17272.186062705405,0,0
3,1,16,1.6,tool,1,tool_1,6,78,4,7,5,1,1,11.25,2500,1000,1000,2938.4384589790384,1000,1265.5471006663038,10000.0,19715.23555964534,0,0
3,1,17,1.6,face,1,face_1,7,79,1,1,18,2,1,11.25,2500,1000,1000,2463.306382624787,0,1314.9771526865886,10625.0,18914.533535311377,0,0
3,1,15,1.6,food,1,food_1,8,80,6,11,8,2,1,11.25,2500,1000,1000,2541.6899063659125,0,1487.4100675914299,9375.0,17915.349973957345,0,0
3,1,16,1.6,leg,1,leg_1,9,81,3,5,3,1,1,11.25,2500,1000,1000,2800.922987309405,0,1619.4869276323534,10000.0,18931.65991494176,0,0
3,2,14,2.0,shapes,1,shapes_1,10,82,8,15,11,1,1,9.0,2500,1000,1000,2217.6520561831258,1000,1416.5239235280426,7000.0,16143.175979711168,0,0
3,2,15,2.0,object,2,object_2,11,83,5,10,7,1,1,9.0,2500,1000,1000,2096.2468800644997,1000,1217.2904043873573,7500.0,16322.537284451857,0,0
3,2,13,2.0,tool,1,tool_1,12,84,4,7,2,2,1,9.0,2500,1000,1000,2607.5885019774696,0,1231.188799276542,6500.0,14847.777301254011,0,0
3,2,15,2.0,hands,1,hands_1,13,85,7,13,10,2,1,9.0,2500,1000,1000,2377.334084968962,0,1138.9049619582042,7500.0,15525.239046927167,0,0
3,2,16,2.0,leg,2,leg_2,14,86,3,6,4,2,1,9.0,2500,1000,1000,2997.368058594179,0,1059.5090094345856,8000.0,16565.877068028763,0,0
3,2,14,2.0,house,1,house_1,15,87,2,3,17,1,1,9.0,2500,1000,1000,2062.224455263785,1000,1251.698551847445,7000.0,15822.92300711123,0,0
3,2,13,2.0,face,1,face_1,16,88,1,1,14,2,1,9.0,2500,1000,1000,2771.363536798809,0,1179.1847751102193,6500.0,14959.548311909028,0,0
