run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,target_cat,target_cat_pos,start_cat,start_cat_pos,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
2,1,15,2.0,hand,2,hand_2,4,40,1,2,17,1,1,0.0,2500,1000,1000,2286.4043192696035,0,1004.4096201047074,7500.0,15290.813939374311,1,9,1,1,2,0,0,0,0,0,0.0,,,,0,,1,1
2,1,12,2.0,tool,1,tool_1,5,41,5,9,3,1,1,0.0,2500,1000,1000,2204.9691661881716,0,1489.2762780487578,6000.0,14194.245444236929,1,2,1,5,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,17,2.0,animal,2,animal_2,6,42,4,8,7,1,1,0.0,2500,1000,1000,2147.4837074700104,0,1213.770565653563,8500.0,16361.254273123574,1,4,1,4,2,0,0,0,0,0,0.0,,,,0,,1,1
2,1,13,2.0,face,1,face_1,7,43,3,5,18,2,1,0.0,2500,1000,1000,2689.296760889196,0,1089.165750444455,6500.0,14778.462511333651,1,9,2,3,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,13,2.0,house,1,house_1,8,44,2,3,16,2,1,0.0,2500,1000,1000,2278.1600347000763,0,1340.795749741359,6500.0,14618.955784441436,1,8,2,2,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,14,2.0,food,2,food_2,9,45,8,16,12,2,1,0.0,2500,1000,1000,2379.75362510592,0,1224.5758270498009,7000.0,15104.329452155722,1,6,2,8,2,0,0,0,0,0,0.0,,,,0,,1,1
2,2,15,1.6,animal,2,animal_2,10,46,4,8,5,1,1,11.25,2500,1000,1000,2095.9589591503395,0,1568.0880472840886,9375.0,17550.297006434426,1,3,1,4,2,0,0,0,0,0,0.0,,,,0,,1,1
2,2,15,1.6,hand,2,hand_2,11,47,1,2,17,1,1,0.0,2500,1000,1000,2803.0829522194967,0,1343.7075014956968,9375.0,18021.79045371519,1,9,1,1,2,0,0,0,0,0,0.0,,,,0,,1,1
2,2,15,1.6,face,2,face_2,12,48,3,6,3,1,1,0.0,2500,1000,1000,2153.4394048489703,0,1688.7072936879056,9375.0,17717.146698536875,1,2,1,3,2,0,0,0,0,0,0.0,,,,0,,1,1
2,2,17,1.6,food,2,food_2,13,49,8,16,15,1,1,0.0,2500,1000,1000,2777.141974370528,0,1652.9431139539004,10625.0,19555.085088324427,1,8,1,8,2,0,0,0,0,0,0.0,,,,0,,1,1
2,2,14,1.6,tool,1,tool_1,14,50,5,9,5,1,1,0.0,2500,1000,1000,2620.1950129421302,0,1839.1338678403545,8750.0,17709.328880782487,1,3,1,5,1,0,0,0,0,0,0.0,,,,0,,1,1
2,2,14,1.6,object,1,object_1,15,51,7,13,9,1,1,0.0,2500,1000,1000,2159.8387847059776,0,1764.9688753355977,8750.0,17174.807660041573,1,5,1,7,1,0,0,0,0,0,0.0,,,,0,,1,1
2,2,12,1.6,shape,2,shape_2,16,52,9,18,12,2,1,0.0,2500,1000,1000,2210.8398878767043,0,1483.2253654377394,7500.0,15694.065253314444,1,6,2,9,2,0,0,0,0,0,0.0,,,,0,,1,1
2,2,14,1.6,leg,1,leg_1,17,53,6,11,7,1,1,0.0,2500,1000,1000,2061.1497109562124,0,1533.3780250726984,8750.0,16844.52773602891,1,4,1,6,1,0,0,0,0,0,0.0,,,,0,,1,1
2,2,16,1.6,house,1,house_1,18,54,2,3,1,1,1,0.0,2500,1000,1000,2393.399635386548,1000,1574.2985513967815,10000.0,19467.69818678333,1,1,1,2,1,1,11,14,7,2,6875.0,8.0,1.0,15.0,1,-1.0,1,1
2,3,16,2.0,object,1,object_1,19,55,7,13,11,1,1,9.0,2500,1000,1000,2702.9395146959087,1000,1071.1645726590768,8000.0,17283.104087354986,1,6,1,7,1,1,8,3,2,1,4000.0,3.0,2.0,6.0,1,-1.0,1,1
2,3,16,2.0,house,2,house_2,20,56,2,4,2,2,1,0.0,2500,1000,1000,2594.3997668215584,0,1364.6035196966423,8000.0,16459.0032865182,1,1,2,2,2,0,0,0,0,0,0.0,,,,0,,1,1
2,3,15,2.0,face,2,face_2,21,57,3,6,3,1,1,0.0,2500,1000,1000,2950.5997736943236,1000,1052.6489879544763,7500.0,17003.2487616488,1,2,1,3,2,1,8,14,7,2,4000.0,8.0,1.0,15.0,-1,1.0,1,1
2,3,15,2.0,tool,2,tool_2,22,58,5,10,7,1,1,0.0,2500,1000,1000,2910.947810525076,1000,1376.6111834854376,7500.0,17287.558994010513,1,4,1,5,2,1,10,2,1,2,5000.0,2.0,1.0,3.0,1,-1.0,1,1
2,3,14,2.0,hand,1,hand_1,23,59,1,1,15,1,1,0.0,2500,1000,1000,2600.5282484100185,0,1174.0372865102495,7000.0,15274.565534920268,1,8,1,1,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,12,2.0,animal,1,animal_1,24,60,4,7,1,1,1,0.0,2500,1000,1000,2486.69877552104,0,1382.67260023217,6000.0,14369.37137575321,1,1,1,4,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,13,2.0,food,1,food_1,25,61,8,15,10,2,1,0.0,2500,1000,1000,2480.128910510551,0,1070.9504512170313,6500.0,14551.079361727583,1,5,2,8,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,12,2.0,shape,2,shape_2,26,62,9,18,12,2,1,0.0,2500,1000,1000,2865.742568278146,0,1119.3980390769927,6000.0,14485.140607355139,1,6,2,9,2,0,0,0,0,0,0.0,,,,0,,1,1
2,3,17,2.0,leg,2,leg_2,27,63,6,12,11,1,1,0.0,2500,1000,1000,2148.936531709508,0,1202.550861013318,8500.0,16351.487392722825,1,6,1,6,2,0,0,0,0,0,0.0,,,,0,,1,1
2,4,16,1.6,house,2,house_2,28,64,2,4,2,2,1,11.25,2500,1000,1000,2160.84854158325,0,1309.1696185875242,10000.0,17981.268160170774,1,1,2,2,2,0,0,0,0,0,0.0,,,,0,,1,1
2,4,16,1.6,leg,2,leg_2,29,65,6,12,10,2,1,0.0,2500,1000,1000,2435.166823021097,1000,1766.612260579766,10000.0,19701.779083600864,1,5,2,6,2,1,8,2,1,2,5000.0,2.0,1.0,3.0,1,-1.0,1,1
2,4,12,1.6,animal,1,animal_1,30,66,4,7,1,1,1,0.0,2500,1000,1000,2820.063666307783,1000,1250.7015225677203,7500.0,17070.765188875503,1,1,1,4,1,1,8,15,8,1,5000.0,9.0,2.0,18.0,-1,1.0,1,1
2,4,13,1.6,shape,1,shape_1,31,67,9,17,12,2,1,0.0,2500,1000,1000,2493.7729922141875,0,1299.0117594094795,8125.0,16417.784751623665,1,6,2,9,1,0,0,0,0,0,0.0,,,,0,,1,1
2,4,13,1.6,food,1,food_1,32,68,8,15,10,2,1,0.0,2500,1000,1000,2218.9687068407948,0,1643.1695510700226,8125.0,16487.138257910818,1,5,2,8,1,0,0,0,0,0,0.0,,,,0,,1,1
2,4,12,1.6,hand,1,hand_1,33,69,1,1,13,1,1,0.0,2500,1000,1000,2702.1817796972755,0,1433.6428926748733,7500.0,16135.82467237215,1,7,1,1,1,0,0,0,0,0,0.0,,,,0,,1,1
2,4,13,1.6,object,2,object_2,34,70,7,14,9,1,1,0.0,2500,1000,1000,2735.8493198119463,0,1507.8701674740298,8125.0,16868.719487285976,1,5,1,7,2,0,0,0,0,0,0.0,,,,0,,1,1
2,4,17,1.6,tool,2,tool_2,35,71,5,10,9,1,1,0.0,2500,1000,1000,2245.7180335282105,0,1559.5936603676155,10625.0,18930.311693895826,1,5,1,5,2,0,0,0,0,0,0.0,,,,0,,1,1
2,4,17,1.6,face,1,face_1,36,72,3,5,4,2,1,0.0,2500,1000,1000,2210.923859836649,0,1714.1228522909046,10625.0,19050.046712127554,1,2,2,3,1,0,0,0,0,0,0.0,,,,0,,1,1
3,1,17,1.6,house,2,house_2,1,73,2,4,3,1,1,11.25,2500,1000,1000,2504.97937417164,0,1553.5776375874127,10625.0,19194.807011759054,1,2,1,2,2,0,0,0,0,0,0.0,,,,0,,1,1
3,1,16,1.6,face,2,face_2,2,74,3,6,4,2,1,0.0,2500,1000,1000,2950.722137388094,0,1416.0170404323999,10000.0,18866.739177820495,1,2,2,3,2,0,0,0,0,0,0.0,,,,0,,1,1
3,1,14,1.6,food,1,food_1,3,75,8,15,11,1,1,0.0,2500,1000,1000,2089.9252299300515,0,1331.8336514177704,8750.0,16671.75888134782,1,6,1,8,1,0,0,0,0,0,0.0,,,,0,,1,1
3,1,12,1.6,tool,2,tool_2,4,76,5,10,4,2,1,0.0,2500,1000,1000,2676.7558236816294,0,1810.6798342678383,7500.0,16487.435657949467,1,2,2,5,2,0,0,0,0,0,0.0,,,,0,,1,1
3,1,13,1.6,shape,2,shape_2,5,77,9,18,13,1,1,0.0,2500,1000,1000,2973.6577906332295,1000,1393.301509056185,8125.0,17991.959299689413,1,7,1,9,2,1,8,8,4,2,5000.0,5.0,1.0,9.0,-1,1.0,1,1
3,1,16,1.6,hand,2,hand_2,6,78,1,2,18,2,1,0.0,2500,1000,1000,2299.5224609494335,0,1492.1812760490839,10000.0,18291.70373699852,1,9,2,1,2,0,0,0,0,0,0.0,,,,0,,1,1
3,1,17,1.6,leg,2,leg_2,7,79,6,12,11,1,1,0.0,2500,1000,1000,2526.2579011623934,0,1498.7630136737719,10625.0,19150.020914836165,1,6,1,6,2,0,0,0,0,0,0.0,,,,0,,1,1
3,1,16,1.6,animal,2,animal_2,8,80,4,8,6,2,1,0.0,2500,1000,1000,2512.170610599084,0,1716.3810161183537,10000.0,18728.55162671744,1,3,2,4,2,0,0,0,0,0,0.0,,,,0,,1,1
